competition,season,teams,main_role,player_id,player_name,presences,matches_started,full_matches,minutes_played,substitutions_in,substitutions_out,yellow_cards,red_cards,shots_attempted,shots_on_target,goals,xg_total,xg_avg,headers,assists,key_passes,passes_attempted,passes_completed,progressive_passes,crosses,switches,avg_pass_angle,avg_pass_length,carries_attempted,carry_distance_total,progressive_carries,carries_to_penalty_area,dribbles_attempted,dribbles_completed,dribble_overruns,duels_attempted,duels_won,interceptions_attempted,interceptions_won,blocks,clearances,ball_recoveries,pressures,dispossessed,fouls_committed,fouls_won,own_goals,gk_goals_conceded,gk_shots_faced,gk_saves,gk_penalties_saved,gk_clean_sheet
Italy - Serie A,2015/2016,['Atalanta'],Right Back,40333,Cristian Raimondi,18,6,3,833,12,4,4,0,6,1,0,0.39,0.3,2,0,4,362,251,104,14,5,-10.98,296.72,216,1159.38,20,4,7,3,2,81,10,9,5,34,10,26,211,5,24,24,0,0,0,0,0,0
Italy - Serie A,2015/2016,['Atalanta'],Right Back,386607,Gianpaolo Bellini,15,11,4,1005,4,7,4,0,6,1,1,0.89,0.84,0,0,1,506,409,133,13,11,-5.61,278.11,286,1256.83,32,1,5,4,0,33,2,16,2,30,42,43,153,4,22,10,0,0,0,0,0,0
Italy - Serie A,2015/2016,['Atalanta'],Right Center Back,40426,Guglielmo Stendardo,15,12,11,1190,3,1,4,1,6,1,1,0.97,0.97,5,0,1,407,331,90,1,4,-4.8,334.38,251,1461.4,18,0,3,3,0,48,7,11,2,20,56,33,151,0,19,18,0,0,0,0,0,0
Italy - Serie A,2015/2016,['Atalanta'],Right Center Back,7002,Rafael Tolói,24,21,18,2023,3,2,7,1,10,4,1,0.47,0.35,5,0,2,721,561,246,2,42,-6.37,623.74,441,2689.32,39,0,9,7,1,88,16,29,13,38,120,75,278,6,36,10,1,0,0,0,0,0
Italy - Serie A,2015/2016,['Atalanta'],Left Center Back,7108,Berat Djimsiti,3,3,3,284,0,0,1,0,1,0,0,0.05,0.05,1,0,0,141,106,36,0,2,0.27,65.59,100,528.95,8,0,1,1,0,9,0,5,0,6,19,14,23,0,2,5,0,0,0,0,0,0
Italy - Serie A,2015/2016,['Atalanta'],Left Center Back,38237,Gabriel Paletta,24,24,21,2146,0,1,5,2,9,1,1,0.39,0.26,6,0,3,807,617,278,5,58,2.03,638.15,488,2699.55,33,1,5,3,0,84,13,20,6,44,114,93,277,4,37,14,0,0,0,0,0,0
Italy - Serie A,2015/2016,['Atalanta'],Left Center Back,45590,Nicolò Cherubin,14,10,9,1109,4,0,1,1,4,2,1,0.32,0.32,4,0,1,344,254,127,0,6,4.03,356.36,202,1028.93,10,1,3,1,0,35,2,5,1,29,56,37,166,5,15,13,0,0,0,0,0,0
Italy - Serie A,2015/2016,['Atalanta'],Left Back,11722,Boukary Dramé,25,25,21,2175,0,3,2,1,18,5,0,0.85,0.59,3,0,16,1289,1013,301,51,30,21.5,479.41,852,4592.5,86,8,36,28,3,68,11,35,21,75,57,112,297,26,24,32,0,0,0,0,0,0
Italy - Serie A,2015/2016,['Atalanta'],Left Back,31231,Davide Brivio,14,10,10,1095,4,0,2,0,9,1,0,0.16,0.14,0,0,6,653,491,173,26,9,9.58,239.04,397,2551.93,66,2,6,2,0,22,4,6,2,22,30,59,135,8,8,7,0,0,0,0,0,0
Italy - Serie A,2015/2016,['Atalanta'],Center Defensive Midfield,40455,Giulio Migliaccio,18,3,3,636,15,0,2,1,3,1,0,0.16,0.16,1,0,3,239,155,63,5,3,-4.66,275.48,126,484.84,6,2,0,0,0,63,6,4,2,10,30,26,126,4,18,12,0,0,0,0,0,0
Italy - Serie A,2015/2016,['Atalanta'],Center Defensive Midfield,6994,Marten de Roon,36,35,28,3281,1,6,10,1,20,6,1,0.76,0.5,1,1,18,1669,1290,419,9,85,-3.18,800.13,1126,5075.38,50,3,25,17,0,200,39,66,28,77,67,189,1108,27,87,35,0,0,0,0,0,0
Italy - Serie A,2015/2016,['Atalanta'],Right Center Midfield,6952,Alberto Grassi,13,13,3,1000,0,9,5,1,16,4,0,0.99,0.67,1,0,8,381,294,68,8,6,-4.36,212.51,306,1636.71,27,8,17,6,1,45,0,21,8,21,23,66,217,6,28,26,0,0,0,0,0,0
Italy - Serie A,2015/2016,['Atalanta'],Right Center Midfield,35923,Carlos Carmona,8,5,4,505,3,0,3,1,1,0,0,0.04,0.04,0,0,3,243,209,39,2,3,0.23,140.6,166,759.19,9,1,4,2,0,28,3,4,1,12,6,21,192,3,15,9,0,0,0,0,0,0
Italy - Serie A,2015/2016,['Atalanta'],Left Center Midfield,6941,Jasmin Kurtič,32,30,15,2527,2,14,6,1,41,10,2,2.53,1.74,6,0,14,1069,786,178,55,45,4.9,582.12,848,4700.06,89,25,33,24,0,119,10,23,9,52,40,107,628,22,40,39,0,0,0,0,0,0
Italy - Serie A,2015/2016,['Atalanta'],Left Center Midfield,8420,Luca Cigarini,25,21,14,1932,4,7,10,0,43,13,2,3.48,1.37,2,2,30,1287,998,323,28,61,-0.74,508.54,867,4123.94,70,12,20,13,0,72,16,22,8,39,27,127,412,21,49,36,0,0,0,0,0,0
Italy - Serie A,2015/2016,['Atalanta'],Left Center Midfield,386606,Luigi Giorgi,1,0,0,19,1,0,0,0,0,0,0,0.0,0.0,0,0,1,18,17,0,0,1,0.7,14.15,15,57.1,1,0,0,0,0,1,0,0,0,0,0,3,3,1,0,1,0,0,0,0,0,0
Italy - Serie A,2015/2016,['Atalanta'],Left Center Midfield,6983,Remo Freuler,6,5,3,470,1,2,0,0,5,1,1,0.6,0.6,0,0,2,159,125,29,6,3,0.59,86.56,129,737.66,18,1,3,1,0,30,5,4,2,9,3,24,147,7,17,5,0,0,0,0,0,0
Italy - Serie A,2015/2016,['Atalanta'],Right Wing,8184,Marco Dalessandro,23,11,6,1264,12,5,3,0,14,5,3,2.08,1.25,0,2,14,373,259,49,41,18,-7.67,372.47,433,4224.55,104,33,55,29,1,51,7,6,1,25,15,66,223,28,18,32,0,0,0,0,0,0
Italy - Serie A,2015/2016,['Atalanta'],Right Wing,12759,Maximiliano Moralez,17,16,11,1435,1,5,2,0,26,11,1,4.21,2.86,3,4,37,799,604,109,64,25,-5.01,295.54,705,4240.9,62,35,29,14,1,52,8,12,6,33,5,67,406,38,24,42,0,0,0,0,0,0
